"id","field_name",,,
1,"ABLE SEAMAN",,,
2,"ABRASIVE GRADER",,,
3,"ABRASIVE GRINDER",,,
4,"ABRASIVE MIXER",,,
5,"ABRASIVE SAWYER",,,
6,"ABRASIVE-BAND WINDER",,,
7,"ABRASIVE-COATING-MACHINE OPERATOR",,,
8,"ABRASIVE-GRADER HELPER",,,
9,"ABRASIVE-MIXER HELPER",,,
10,"ABRASIVE-WHEEL MOLDER",,,
11,"ABSORPTION OPERATOR",,,
12,"ABSORPTION-AND-ADSORPTION ENGINEER",,,
13,"ABSTRACTOR",,,
14,"ACADEMIC DEAN",,,
15,"ACCELERATOR OPERATOR",,,
16,"ACCIDENT-PREVENTION-SQUAD POLICE OFFICER",,,
17,"ACCORDION MAKER",,,
18,"ACCORDION REPAIRER",,,
19,"ACCORDION TUNER",,,
20,"ACCOUNT EXECUTIVE",,,
21,"ACCOUNTANT",,,
22,"ACCOUNTANT, BUDGET",,,
23,"ACCOUNTANT, COST",,,
24,"ACCOUNTANT, PROPERTY",,,
25,"ACCOUNTANT, SYSTEMS",,,
26,"ACCOUNTANT, TAX",,,
27,"ACCOUNT-INFORMATION CLERK",,,
28,"ACCOUNTING CLERK",,,
29,"Accounts Assistant",,,
30,"Accounts Clerk",,,
31,"Accounts Manager",,,
32,"Accounts Staff",,,
33,"ACCOUNTS-ADJUSTABLE CLERK",,,
34,"ACETONE-BUTTON PASTER",,,
35,"ACETONE-RECOVERY WORKER",,,
36,"ACETYLENE-CYLINDER-PACKING MIXER",,,
37,"ACETYLENE-PLANT OPERATOR",,,
38,"ACID ADJUSTER",,,
39,"ACID DUMPER",,,
40,"ACID EXTRACTOR",,,
41,"ACID FILLER",,,
42,"ACID MAKER",,,
43,"ACID PURIFIER",,,
44,"ACID SUPERVISOR",,,
45,"ACID-PLANT HELPER",,,
46,"ACID-POLYMERIZATION OPERATOR",,,
47,"ACID-TANK LINER",,,
48,"Acoustic Engineer",,,
49,"ACOUSTICAL CARPENTER",,,
50,"ACQUISITIONS LIBRARIAN",,,
51,"ACROBAT",,,
52,"ACROBATIC RIGGER",,,
53,"ACTOR",,,
54,"Actress",,,
55,"ACTUARY",,,
56,"ACUPRESSURIST",,,
57,"ACUPUNCTURIST",,,
58,"ADDRESSER",,,
59,"ADDRESSING-MACHINE OPERATOR",,,
60,"ADHESIVE PRIMER",,,
61,"ADHESIVE-BANDAGE-MACHINE OPERATOR",,,
